Day;Month;Year;Time;Air;Yest
08;01;2017;06;43.9914;55.8351
08;01;2017;07;33.2944;58.7924
08;01;2017;08;33.4319;54.9131
08;01;2017;09;35.2674;56.7982
08;01;2017;10;50.8457;40.6763
08;01;2017;11;41.703;32.5413
08;01;2017;12;37.0634;32.8093
08;01;2017;13;29.7894;25.9889
08;01;2017;14;35.3418;29.187
08;01;2017;15;39.1934;15.4987
08;01;2017;16;39.2484;19.4385
08;01;2017;17;57.8974;21.5105
08;01;2017;18;80.4623;31.5056
08;01;2017;19;114.947;36.3267
08;01;2017;20;145.2;36.7305
08;01;2017;21;162.663;40.7746
08;01;2017;22;183.09;33.836
08;01;2017;23;184.848;29.8914
09;01;2017;00;205.502;35.1653
09;01;2017;01;217.25;51.8607
09;01;2017;02;199.621;57.0543
09;01;2017;03;191.675;60.9038
09;01;2017;04;184.437;58.0133
09;01;2017;05;182.541;43.9914
09;01;2017;06;182.593;33.2944
09;01;2017;07;157.411;33.4319
09;01;2017;08;110.584;35.2674
09;01;2017;09;111.772;50.8457
09;01;2017;10;106.623;41.703
09;01;2017;11;110.972;37.0634
09;01;2017;12;149.516;29.7894
09;01;2017;13;140.904;35.3418
09;01;2017;14;138.674;39.1934
09;01;2017;15;113.032;39.2484
09;01;2017;16;109.821;57.8974
09;01;2017;17;113.585;80.4623
09;01;2017;18;115.221;114.947
09;01;2017;19;117.988;145.2
09;01;2017;20;83.6558;162.663
09;01;2017;21;63.5006;183.09
09;01;2017;22;55.7507;184.848
09;01;2017;23;95.2226;205.502
10;01;2017;00;69.8066;217.25
10;01;2017;01;45.5525;199.621
10;01;2017;02;85.8215;191.675
10;01;2017;03;61.8733;184.437
10;01;2017;04;64.0187;182.541
10;01;2017;05;81.238;182.593
10;01;2017;06;90.2953;157.411
10;01;2017;07;119.432;110.584
10;01;2017;08;121.972;111.772
10;01;2017;09;120.085;106.623
10;01;2017;10;135.542;110.972
10;01;2017;11;145.1;149.516
10;01;2017;12;165.58;140.904
10;01;2017;13;169.28;138.674
10;01;2017;14;139.985;113.032
10;01;2017;15;115.228;109.821
10;01;2017;16;93.9753;113.585
10;01;2017;17;89.2374;115.221
10;01;2017;18;70.497;117.988
10;01;2017;19;60.9939;83.6558
10;01;2017;20;41.0983;63.5006
10;01;2017;21;35.5699;55.7507
10;01;2017;22;68.1677;95.2226
10;01;2017;23;59.9852;69.8066
11;01;2017;00;47.9478;45.5525
11;01;2017;01;43.4208;85.8215
11;01;2017;02;33.7103;61.8733
11;01;2017;03;35.1415;64.0187
11;01;2017;04;32.552;81.238
11;01;2017;05;33.2586;90.2953
11;01;2017;06;41.5817;119.432
11;01;2017;07;45.1861;121.972
11;01;2017;08;49.5059;120.085
11;01;2017;09;52.9298;135.542
11;01;2017;10;48.539;145.1
11;01;2017;11;46.1517;165.58
11;01;2017;12;26.5989;169.28
11;01;2017;13;27.023;139.985
11;01;2017;14;22.2902;115.228
11;01;2017;15;23.2865;93.9753
11;01;2017;16;26.299;89.2374
11;01;2017;17;28.0851;70.497
11;01;2017;18;30.9759;60.9939
11;01;2017;19;23.6449;41.0983
11;01;2017;20;30.1965;35.5699
11;01;2017;21;22.4354;68.1677
11;01;2017;22;24.0744;59.9852
11;01;2017;23;25.6475;47.9478
12;01;2017;00;22.9552;43.4208
12;01;2017;01;19.6341;33.7103
12;01;2017;02;10.2108;35.1415
12;01;2017;03;15.1351;32.552
12;01;2017;04;11.8653;33.2586
12;01;2017;05;7.81601;41.5817
12;01;2017;06;6.94599;45.1861
12;01;2017;07;6.94837;49.5059
12;01;2017;08;13.1131;52.9298
12;01;2017;09;9.97299;48.539
12;01;2017;10;11.2199;46.1517
12;01;2017;11;12.511;26.5989
12;01;2017;12;11.1554;27.023
12;01;2017;13;12.7895;22.2902
12;01;2017;14;13.3281;23.2865
12;01;2017;15;9.14218;26.299
12;01;2017;16;15.4094;28.0851
12;01;2017;17;14.6723;30.9759
12;01;2017;18;23.9971;23.6449
12;01;2017;19;37.0416;30.1965
12;01;2017;20;29.1397;22.4354
12;01;2017;21;23.4651;24.0744
12;01;2017;22;20.9608;25.6475
12;01;2017;23;18.4298;22.9552
13;01;2017;00;18.718;19.6341
13;01;2017;01;15.3055;10.2108
13;01;2017;02;10.4068;15.1351
13;01;2017;03;13.0347;11.8653
13;01;2017;04;11.9751;7.81601
13;01;2017;05;21.0164;6.94599
13;01;2017;06;18.8046;6.94837
13;01;2017;07;19.6754;13.1131
13;01;2017;08;21.4645;9.97299
13;01;2017;09;18.4339;11.2199
13;01;2017;10;18.9854;12.511
13;01;2017;11;11.5212;11.1554
13;01;2017;12;9.64631;12.7895
13;01;2017;13;5.58191;13.3281
13;01;2017;14;6.45616;9.14218
13;01;2017;15;7.00618;15.4094
13;01;2017;16;9.40386;14.6723
13;01;2017;17;15.6774;23.9971
13;01;2017;18;9.12133;37.0416
13;01;2017;19;6.87582;29.1397
13;01;2017;20;12.563;23.4651
13;01;2017;21;12.2559;20.9608
13;01;2017;22;10.5977;18.4298
13;01;2017;23;10.2041;18.718
14;01;2017;00;12.9636;15.3055
14;01;2017;01;11.7452;10.4068
14;01;2017;02;5.82699;13.0347
14;01;2017;03;8.3076;11.9751
14;01;2017;04;6.66399;21.0164
14;01;2017;05;12.3903;18.8046
14;01;2017;06;9.48283;19.6754
14;01;2017;07;21.5154;21.4645
14;01;2017;08;33.0105;18.4339
14;01;2017;09;41.1725;18.9854
14;01;2017;10;34.962;11.5212
14;01;2017;11;16.3986;9.64631
14;01;2017;12;20.0736;5.58191
14;01;2017;13;16.141;6.45616
14;01;2017;14;16.9284;7.00618
14;01;2017;15;21.3352;9.40386
14;01;2017;16;30.8798;15.6774
14;01;2017;17;29.5541;9.12133
14;01;2017;18;28.0479;6.87582
14;01;2017;19;24.5701;12.563
14;01;2017;20;29.8906;12.2559
14;01;2017;21;20.6312;10.5977
14;01;2017;22;14.9682;10.2041
14;01;2017;23;13.1539;12.9636
15;01;2017;00;22.9043;11.7452
15;01;2017;01;10.3005;5.82699
